Cloudlet ID,VM ID,Start Time,Finish Time,Execution Time,Status
0,0,0.10,5.10,5.00,SUCCESS
1,0,0.10,10.21,10.11,SUCCESS
10,1,5.10,10.21,5.11,SUCCESS
11,0,5.10,4611686033.32,4611686028.22,SUCCESS
12,1,5.21,4611686033.32,4611686028.11,SUCCESS
19,0,10.21,6759169665.43,6759169655.22,SUCCESS
18,1,10.21,6759169665.43,6759169655.22,SUCCESS
27,0,4611686033.32,6759169675.11,2147483641.79,SUCCESS
26,1,4611686033.32,6759169675.11,2147483641.79,SUCCESS
2,0,6759169670.11,9223372056.74,2464202386.64,SUCCESS
14,1,6759169670.11,9223372056.74,2464202386.64,SUCCESS
3,0,9223372056.74,9223372061.74,5.00,SUCCESS
16,1,9223372056.74,9223372061.74,5.00,SUCCESS
4,0,9223372061.74,9223372066.85,5.11,SUCCESS
20,1,9223372061.74,9223372066.85,5.11,SUCCESS
5,0,9223372061.85,9223372071.96,10.11,SUCCESS
22,1,9223372061.85,9223372071.96,10.11,SUCCESS
6,0,9223372066.96,11370855688.85,2147483621.89,SUCCESS
24,1,9223372066.96,11370855688.85,2147483621.89,SUCCESS
7,0,11370855688.85,11370855693.85,5.00,SUCCESS
8,0,11370855693.85,11370855698.96,5.11,SUCCESS
9,0,11370855693.96,11370855704.07,10.11,SUCCESS
13,0,11370855699.07,13835058090.28,2464202391.21,SUCCESS
15,0,13835058090.28,13835058095.28,5.00,SUCCESS
17,0,13835058095.28,13835058100.39,5.11,SUCCESS
21,0,13835058095.39,13835058105.50,10.11,SUCCESS
23,0,13835058100.50,15982541722.39,2147483621.89,SUCCESS
25,0,15982541722.39,15982541727.39,5.00,SUCCESS
